formula_id,source,vocab_version,token_ids,token_names,token_len,horizon,valid,invalid_reason,reward,finite_count,coverage,finite_std,scorer_days,scorer_mean_return,scorer_median_return,scorer_hit_rate,scorer_ann_return_proxy,avg_top_k,formula
random_000127,random,phase3a-v1,3 7 13 21 22 17 2 13 15 8 8,close CONST_1 ABS STD10 RET5 DELAY10 low ABS DELAY1 ADD ADD,11,10,False,non_finite_result,-5.0,0,0.0,,,,,,,,
random_000128,random,phase3a-v1,3 13 17 13 4 20 19 8,close ABS DELAY10 ABS volume MA20 MA10 ADD,8,10,True,,0.005035202386652084,42845,0.9877354358300482,6626945.67753991,2337.0,0.005035202386652084,0.0009220867010808209,0.5151904150620453,0.12688710014363253,3.501925545571245,random_000128
random_000129,random,phase3a-v1,5 16 15 7 5 11 13 9,amount DELAY5 DELAY1 CONST_1 amount DIV ABS SUB,8,10,True,,0.0056740926493016805,43268,0.9974871475666828,1452265190.4509223,2337.0,0.0056740926493016805,0.001980001980001894,0.5254599914420197,0.14298713476240235,3.501925545571245,random_000129
random_000130,random,phase3a-v1,7 20 20 6 3 23 21 9 11,CONST_1 MA20 MA20 CONST_0 close RET10 STD10 SUB DIV,9,10,True,,0.0037718032733347045,42977,0.9907785231804873,55.35606214523767,2337.0,0.0037718032733347045,0.001033479878781024,0.513050919982884,0.09504944248803456,3.501925545571245,random_000130
random_000131,random,phase3a-v1,5 15 21 21 1 24 1 0 11 10 8,amount DELAY1 STD10 STD10 high DECAY high open DIV MUL ADD,11,10,True,,0.003745630535991291,43016,0.9916776171703898,199258533.15687466,2337.0,0.003745630535991291,0.0009035208635479094,0.5100556268720582,0.09438988950698055,3.501925545571245,random_000131
random_000132,random,phase3a-v1,3 17 6 14 10 3 10 14 18 12 13 2 11,close DELAY10 CONST_0 SIGN MUL close MUL SIGN MA5 NEG ABS low DIV,13,10,False,constant_signal,-2.0,43121,0.994098254835512,0.0,,,,,,,
random_000133,random,phase3a-v1,3 1 24 21 5 22 1 21 24 16 9 20 9 9,close high DECAY STD10 amount RET5 high STD10 DECAY DELAY5 SUB MA20 SUB SUB,14,10,True,,0.0016394399361030086,42632,0.9828249994236578,1.625815549597827,2337.0,0.0016394399361030086,0.0025702723394946947,0.5323063756953359,0.041313886389795815,3.501925545571245,random_000133
random_000134,random,phase3a-v1,1 4 23 9,high volume RET10 SUB,4,10,True,,0.0016295767373366147,43200,0.9959194965073657,3.605534235259552,2337.0,0.0016295767373366147,0.003222949179374379,0.5378690629011553,0.04106533378088269,3.501925545571245,random_000134
random_000135,random,phase3a-v1,1 20 14 20,high MA20 SIGN MA20,4,10,False,constant_signal,-2.0,42655,0.9833552343407796,0.0,,,,,,,
random_000136,random,phase3a-v1,3 23 16 17 17 22 17 3 1 18 18 18 8 10,close RET10 DELAY5 DELAY10 DELAY10 RET5 DELAY10 close high MA5 MA5 MA5 ADD MUL,14,10,True,,0.0034655998104169486,39528,0.9112663393042396,20.169279428475615,2337.0,0.0034655998104169486,0.0034353831265944526,0.5327342747111682,0.08733311522250711,3.501925545571245,random_000136
random_000137,random,phase3a-v1,0 14 0 13 7 19 11 2 22 20 8 8,open SIGN open ABS CONST_1 MA10 DIV low RET5 MA20 ADD ADD,12,10,True,,0.001286539532573939,42921,0.9894875164257556,1.4681028465838095,2337.0,0.001286539532573939,0.00265412323594455,0.5310226786478391,0.03242079622086326,3.501925545571245,random_000137
random_000138,random,phase3a-v1,7 16 4 18 16 10 14 21 21 24,CONST_1 DELAY5 volume MA5 DELAY5 MUL SIGN STD10 STD10 DECAY,10,10,False,constant_signal,-2.0,42834,0.9874818452175116,0.0,,,,,,,
random_000139,random,phase3a-v1,4 3 12 22 11,volume close NEG RET5 DIV,5,10,True,,0.002996176627736669,39162,0.9028286880143855,622520763.8086857,2337.0,0.002996176627736669,0.0018712892281594895,0.5173299101412067,0.07550365101896407,3.501925545571245,random_000139
random_000140,random,phase3a-v1,4 3 13 7 14 12 18 22 24 13 14 11 10,volume close ABS CONST_1 SIGN NEG MA5 RET5 DECAY ABS SIGN DIV MUL,13,10,False,non_finite_result,-5.0,0,0.0,,,,,,,,
random_000141,random,phase3a-v1,5 18 23 22 7 22 15 10,amount MA5 RET10 RET5 CONST_1 RET5 DELAY1 MUL,8,10,False,constant_signal,-2.0,43016,0.9916776171703898,0.0,,,,,,,
random_000142,random,phase3a-v1,7 18 12 16 23 7 20 10,CONST_1 MA5 NEG DELAY5 RET10 CONST_1 MA20 MUL,8,10,False,constant_signal,-2.0,43339,0.9991239597021463,0.0,,,,,,,
random_000143,random,phase3a-v1,5 21 19 18 15,amount STD10 MA10 MA5 DELAY1,5,10,True,,0.004118116459560445,42940,0.9899255365746824,532086006.8524183,2337.0,0.004118116459560445,0.0017536316852323115,0.519469405220368,0.10377653478092322,3.501925545571245,random_000143
random_000144,random,phase3a-v1,4 0 7 10 12 22 4 11 15 10,volume open CONST_1 MUL NEG RET5 volume DIV DELAY1 MUL,10,10,True,,0.004970607039807327,43267,0.997464093874634,0.1310593696096183,2337.0,0.004970607039807327,0.0026350844529452466,0.5280273855370132,0.12525929740314462,3.501925545571245,random_000144
random_000145,random,phase3a-v1,4 15 19 15,volume DELAY1 MA10 DELAY1,4,10,True,,0.005087253661546034,43170,0.9952278857459022,6868489.639056635,2337.0,0.005087253661546034,0.0010014731712844616,0.5164741121095422,0.12819879227096004,3.501925545571245,random_000145
random_000146,random,phase3a-v1,7 17 16 3 4 8 23 11,CONST_1 DELAY10 DELAY5 close volume ADD RET10 DIV,8,10,True,,0.0035391015334880795,43195,0.9958042280471218,288.0209639395554,2337.0,0.0035391015334880795,0.0028089887640449507,0.5340179717586649,0.0891853586438996,3.501925545571245,random_000146
random_000147,random,phase3a-v1,0 12 19 24 17 20 20 5 12 11,open NEG MA10 DECAY DELAY10 MA20 MA20 amount NEG DIV,10,10,True,,0.0036491993724533105,42269,0.97445650920995,1.0646008648809373e-05,2337.0,0.0036491993724533105,0.005604235122307418,0.5639709028669234,0.09195982418582342,3.501925545571245,random_000147
random_000148,random,phase3a-v1,7 4 20 17 14 22 22 16 17 15 9,CONST_1 volume MA20 DELAY10 SIGN RET5 RET5 DELAY5 DELAY10 DELAY1 SUB,11,10,False,non_finite_result,-5.0,0,0.0,,,,,,,,
random_000149,random,phase3a-v1,1 5 19 24 17 2 24 24 7 9 18 11 9,high amount MA10 DECAY DELAY10 low DECAY DECAY CONST_1 SUB MA5 DIV SUB,13,10,True,,0.004323463321619824,42980,0.9908476842566337,260896681830.45624,2337.0,0.004323463321619824,0.0013508203163375143,0.5164741121095422,0.10895127570481958,3.501925545571245,random_000149
random_000150,random,phase3a-v1,0 23 21 22 23 13 12 12 12,open RET10 STD10 RET5 RET10 ABS NEG NEG NEG,9,10,True,,0.002950086226543104,42727,0.985015100168292,290815454171.7069,2337.0,0.002950086226543104,0.0027173913043477826,0.5246041934103551,0.07434217290888621,3.501925545571245,random_000150
random_000151,random,phase3a-v1,2 0 11 21,low open DIV STD10,4,10,True,,0.0014896678474133251,43206,0.9960578186596584,0.006529767122991021,2337.0,0.0014896678474133251,0.0014935106155826345,0.5121951219512195,0.0375396297548158,3.501925545571245,random_000151
random_000152,random,phase3a-v1,6 3 7 23 20 4 9 22 8 8,CONST_0 close CONST_1 RET10 MA20 volume SUB RET5 ADD ADD,10,10,True,,0.001675979136475094,43227,0.9965419461926828,3.0215840897706894,2337.0,0.001675979136475094,0.0018726591760299671,0.5203252032520326,0.04223467423917237,3.501925545571245,random_000152
random_000153,random,phase3a-v1,2 21 15,low STD10 DELAY1,3,10,True,,0.0015834674873674323,43187,0.9956197985107315,0.05354791295903231,2337.0,0.0015834674873674323,0.002590476190476254,0.5233204963628584,0.039903380681659294,3.501925545571245,random_000153
