formula,horizon,validator_variant,max_holding_days,transaction_cost_bps,validator_days,validator_total_return,validator_ann_return,validator_sharpe,validator_max_drawdown,validator_trade_count,validator_sell_count,validator_avg_cash_weight,benchmark_total_return,benchmark_ann_return
train_000069_048,10,rank_only_no_max_holding,,5.0,2348,2.9111593431296487,0.15762904803410716,0.5772085225481882,-0.3044138485384891,283,140,0.03232991875284226,0.874150570584729,0.06974150244931265
train_000069_048,10,max_holding_10,10.0,5.0,2348,0.7434010263052484,0.06147081418340905,0.32735365932793165,-0.32649753305733054,1313,655,0.21077631344316836,0.874150570584729,0.06974150244931265
train_000069_048,10,rank_only_max_holding_10,10.0,5.0,2348,0.37297087966094966,0.03460495632411131,0.2632505591840277,-0.34925761929679655,1479,738,0.07765778529022488,0.874150570584729,0.06974150244931265
train_000013_016,10,no_max_holding,,5.0,2348,1.2534500565533726,0.09111252246632162,0.4006807765046052,-0.3761625465760411,185,91,0.16923078046600715,0.874150570584729,0.06974150244931265
train_000013_016,10,rank_only_no_max_holding,,5.0,2348,4.041271476403029,0.1895984343368331,0.6464962386733849,-0.33878127410011705,171,84,0.04583434527688973,0.874150570584729,0.06974150244931265
train_000013_016,10,max_holding_10,10.0,5.0,2348,0.26659629399290563,0.025688970708631853,0.22473021123984352,-0.389013532254165,1241,619,0.2078738077208126,0.874150570584729,0.06974150244931265
train_000013_016,10,rank_only_max_holding_10,10.0,5.0,2348,0.47557856763856265,0.04263895687567176,0.2948660470187737,-0.45453548134386845,1427,712,0.08268350391148215,0.874150570584729,0.06974150244931265
train_000107_038,10,no_max_holding,,5.0,2348,1.5271962575501088,0.10462121977010486,0.4368658180129923,-0.3561266047458981,303,150,0.14565630965631127,0.874150570584729,0.06974150244931265
train_000107_038,10,rank_only_no_max_holding,,5.0,2348,3.005608996193203,0.1605975075031707,0.5779923050274145,-0.31412693667151026,235,116,0.027309134844064054,0.874150570584729,0.06974150244931265
train_000107_038,10,max_holding_10,10.0,5.0,2348,0.1774642739185226,0.017687624301374383,0.18880185143418515,-0.3116228477549141,1369,683,0.1904378945911502,0.874150570584729,0.06974150244931265
train_000107_038,10,rank_only_max_holding_10,10.0,5.0,2348,0.2168024078957278,0.021283406435825825,0.20628906408087655,-0.3610014647090739,1459,728,0.07722550192810022,0.874150570584729,0.06974150244931265
train_000040_023,10,no_max_holding,,5.0,2348,1.59863525579709,0.10793096677812897,0.46521873391809676,-0.3864997782531472,293,145,0.16918970278784526,0.874150570584729,0.06974150244931265
train_000040_023,10,rank_only_no_max_holding,,5.0,2348,2.8864195155311574,0.15684092806185568,0.5751926485739361,-0.3044627907944818,285,141,0.032443028640443856,0.874150570584729,0.06974150244931265
train_000040_023,10,max_holding_10,10.0,5.0,2348,0.7619536186861329,0.06267741583749298,0.33114851854238037,-0.3264975330573301,1309,653,0.21054090268392195,0.874150570584729,0.06974150244931265
train_000040_023,10,rank_only_max_holding_10,10.0,5.0,2348,0.37848756328191535,0.03505032140107156,0.26513570561929667,-0.3492576192967969,1475,736,0.07756382150851925,0.874150570584729,0.06974150244931265
train_000075_054,10,no_max_holding,,5.0,2348,1.8715271648249576,0.11986880133508326,0.4875255497374727,-0.3405100335096022,331,164,0.1318028535790349,0.874150570584729,0.06974150244931265
train_000075_054,10,rank_only_no_max_holding,,5.0,2348,2.747110854439727,0.15231761605147276,0.572202047032499,-0.32207629585127584,263,130,0.03807751639857965,0.874150570584729,0.06974150244931265
train_000075_054,10,max_holding_10,10.0,5.0,2348,1.3336278630845166,0.09521436819555018,0.4332250644340594,-0.30957716341537367,1385,691,0.17309184252335097,0.874150570584729,0.06974150244931265
train_000075_054,10,rank_only_max_holding_10,10.0,5.0,2348,0.9564440764260875,0.07468665134138242,0.3684226053596381,-0.34932119880419965,1495,746,0.07863335151757718,0.874150570584729,0.06974150244931265
train_000076_001,10,no_max_holding,,5.0,2348,1.872335998676931,0.11990265154687929,0.4785326035009762,-0.37132171789835167,309,153,0.15426305126878806,0.874150570584729,0.06974150244931265
train_000076_001,10,rank_only_no_max_holding,,5.0,2348,3.4345681812526454,0.17333916598544485,0.6169180883340797,-0.30326079368768377,265,131,0.03268998959932751,0.874150570584729,0.06974150244931265
train_000076_001,10,max_holding_10,10.0,5.0,2348,0.1482326805009122,0.014945523440839548,0.17580296321161268,-0.36971864535828103,1333,665,0.19376616487091405,0.874150570584729,0.06974150244931265
train_000076_001,10,rank_only_max_holding_10,10.0,5.0,2348,0.15587611022427028,0.015668487482804583,0.18150827005092107,-0.4148728739116184,1471,734,0.07947999486616562,0.874150570584729,0.06974150244931265
train_000067_058,10,no_max_holding,,5.0,2348,2.092216868191363,0.12880366226303486,0.5262437158672042,-0.3255922326504417,461,229,0.16085601356561469,0.874150570584729,0.06974150244931265
train_000067_058,10,rank_only_no_max_holding,,5.0,2348,4.1712861706407525,0.1928538599298708,0.6905560909198358,-0.3285742661690151,281,139,0.04049520302035345,0.874150570584729,0.06974150244931265
train_000067_058,10,max_holding_10,10.0,5.0,2348,1.1794651662629798,0.08721024494514995,0.40682395060223325,-0.3204896680190271,1421,709,0.20243995236089896,0.874150570584729,0.06974150244931265
train_000067_058,10,rank_only_max_holding_10,10.0,5.0,2348,0.9031757838955616,0.0715074140728662,0.41850147135642535,-0.34585585146872444,1503,750,0.07226278550633695,0.874150570584729,0.06974150244931265
