formula_id,source,vocab_version,token_ids,token_names,decoded_formula,token_len,horizon,valid,invalid_reason,reward,finite_count,coverage,finite_std,scorer_days,scorer_mean_return,scorer_median_return,scorer_hit_rate,scorer_ann_return_proxy,avg_top_k,max_abs_signal,step,sample_idx
phase3c_gpu_000043_0407,phase3c_gpu_train,phase3a-v1,4 1 24 4 1 10 8 0 18 21 20 8 1 18 9 9,volume high DECAY volume high MUL ADD open MA5 STD10 MA20 ADD high MA5 SUB SUB,(volume SUB (((DECAY(high) ADD (volume MUL high)) ADD MA20(STD10(MA5(open)))) SUB MA5(high))),16,10,True,,0.0066597312688827515,42769,0.9859833121299744,9735155.0,2337,0.0066597312688827515,,0.5254600048065186,0.16782522797584534,3.501925468444824,317817056.0,43,407
phase3c_gpu_000028_0052,phase3c_gpu_train,phase3a-v1,1 16 23 24 21 20 6 8 4 5 22 17 15 11 20 8,high DELAY5 RET10 DECAY STD10 MA20 CONST_0 ADD volume amount RET5 DELAY10 DELAY1 DIV MA20 ADD,((MA20(STD10(DECAY(RET10(DELAY5(high))))) ADD CONST_0) ADD MA20((volume DIV DELAY1(DELAY10(RET5(amount)))))),16,10,True,,0.006658692844212055,42442,0.9784447550773621,661763200.0,2337,0.006658692844212055,,0.528883159160614,0.1677990596741438,3.501925468444824,24352137216.0,28,52
phase3c_gpu_000044_0918,phase3c_gpu_train,phase3a-v1,0 22 0 8 4 9 1 0 22 5 1 16 8 8 11 10,open RET5 open ADD volume SUB high open RET5 amount high DELAY5 ADD ADD DIV MUL,(((RET5(open) ADD open) SUB volume) MUL (high DIV (RET5(open) ADD (amount ADD DELAY5(high))))),16,10,True,,0.006655230652540922,43290,0.9979943037033081,0.02309258095920086,2337,0.006655230652540922,,0.5566965937614441,0.16771181244403124,3.501925468444824,3.2299859523773193,44,918
phase3c_gpu_000013_0645,phase3c_gpu_train,phase3a-v1,1 4 19 22 2 14 15 19 12 0 0 21 8 8 8 11,high volume MA10 RET5 low SIGN DELAY1 MA10 NEG open open STD10 ADD ADD ADD DIV,(high DIV (RET5(MA10(volume)) ADD (NEG(MA10(DELAY1(SIGN(low)))) ADD (open ADD STD10(open))))),16,10,True,,0.006649491377174854,43111,0.9938676953315735,1696.7171630859375,2337,0.006649491377174854,,0.5485665202140808,0.16756718270480633,3.501925468444824,225112.0,13,645
phase3c_gpu_000037_0824,phase3c_gpu_train,phase3a-v1,7 3 13 9 17 0 1 12 14 5 6 11 14 9 8 10,CONST_1 close ABS SUB DELAY10 open high NEG SIGN amount CONST_0 DIV SIGN SUB ADD MUL,(DELAY10((CONST_1 SUB ABS(close))) MUL (open ADD (SIGN(NEG(high)) SUB SIGN((amount DIV CONST_0))))),16,10,True,,0.006643632892519236,43205,0.9960347414016724,7.700573444366455,2337,0.006643632892519236,,0.5374411344528198,0.16741954889148475,3.501925468444824,100.74240112304688,37,824
phase3c_gpu_000006_0422,phase3c_gpu_train,phase3a-v1,2 1 4 20 14 15 9 15 2 12 16 24 18 10 10 23,low high volume MA20 SIGN DELAY1 SUB DELAY1 low NEG DELAY5 DECAY MA5 MUL MUL RET10,RET10((low MUL (DELAY1((high SUB DELAY1(SIGN(MA20(volume))))) MUL MA5(DECAY(DELAY5(NEG(low))))))),16,10,True,,0.006641517858952284,42673,0.9837701916694641,4.273350238800049,2337,0.006641517858952284,,0.5331621766090393,0.16736625004559755,3.501925468444824,466.7635192871094,6,422
phase3c_gpu_000002_0196,phase3c_gpu_train,phase3a-v1,2 16 0 5 10 19 4 5 19 12 2 14 10 9 9 9,low DELAY5 open amount MUL MA10 volume amount MA10 NEG low SIGN MUL SUB SUB SUB,(DELAY5(low) SUB (MA10((open MUL amount)) SUB (volume SUB (NEG(MA10(amount)) MUL SIGN(low))))),16,10,True,,0.006639010738581419,43206,0.9960578083992004,4008982528.0,2337,0.006639010738581419,,0.525032103061676,0.16730307061225175,3.501925468444824,101525217280.0,2,196
phase3c_gpu_000049_0171,phase3c_gpu_train,phase3a-v1,0 22 12 2 8 15 24 14 3 20 24 0 12 10 8 23,open RET5 NEG low ADD DELAY1 DECAY SIGN close MA20 DECAY open NEG MUL ADD RET10,RET10((SIGN(DECAY(DELAY1((NEG(RET5(open)) ADD low)))) ADD (DECAY(MA20(close)) MUL NEG(open)))),16,10,True,,0.006637361366301775,42788,0.9864213466644287,8.012179374694824,2337,0.006637361366301775,,0.513906717300415,0.16726150643080473,3.501925468444824,915.2771606445312,49,171
phase3c_gpu_000022_0639,phase3c_gpu_train,phase3a-v1,5 3 12 20 20 7 7 15 1 13 4 9 11 8 8 10,amount close NEG MA20 MA20 CONST_1 CONST_1 DELAY1 high ABS volume SUB DIV ADD ADD MUL,(amount MUL (MA20(MA20(NEG(close))) ADD (CONST_1 ADD (DELAY1(CONST_1) DIV (ABS(high) SUB volume))))),16,10,True,,0.006634628865867853,42655,0.9833552241325378,4242004224.0,2337,0.006634628865867853,,0.5258879065513611,0.1671926474198699,3.501925468444824,166231162880.0,22,639
phase3c_gpu_000017_0986,phase3c_gpu_train,phase3a-v1,4 4 2 1 14 24 0 17 21 0 11 9 19 10 10 9,volume volume low high SIGN DECAY open DELAY10 STD10 open DIV SUB MA10 MUL MUL SUB,(volume SUB (volume MUL (low MUL MA10((DECAY(SIGN(high)) SUB (STD10(DELAY10(open)) DIV open)))))),16,10,True,,0.006628645583987236,42845,0.987735390663147,9067915.0,2337,0.006628645583987236,,0.5280274152755737,0.16704186871647836,3.501925468444824,310137312.0,17,986
phase3c_gpu_000042_0528,phase3c_gpu_train,phase3a-v1,1 7 9 0 13 15 13 2 7 16 5 20 9 8 11 11,high CONST_1 SUB open ABS DELAY1 ABS low CONST_1 DELAY5 amount MA20 SUB ADD DIV DIV,((high SUB CONST_1) DIV (ABS(DELAY1(ABS(open))) DIV (low ADD (DELAY5(CONST_1) SUB MA20(amount))))),16,10,True,,0.006624503992497921,43016,0.9916775822639465,873131072.0,2337,0.006624503992497921,,0.5211809873580933,0.16693750061094761,3.501925468444824,12854107136.0,42,528
