formula,horizon,date,equity,cash,cash_weight,position_count,held_symbols,drawdown,benchmark_equity,available_count
reversal_5,10,2021-09-27,1.2127505210829266,0.4255399430358357,0.3508882788653428,2,515220;512400,-0.3114084937531124,1.654382862224586,17
reversal_5,10,2021-09-28,1.2439279431500512,0.4080353814587174,0.32802171838461336,2,515220;510880,-0.293706165327868,1.6596719140837917,17
reversal_5,10,2021-09-29,1.2007594916904698,0.0,0.0,3,515220;515030;512400,-0.31821691877314817,1.6286445045895213,17
reversal_5,10,2021-09-30,1.2324110672373259,0.0,0.0,3,510880;515030;512400,-0.300245369223588,1.6520227242008272,17
reversal_5,10,2021-10-08,1.2052660688572776,0.014341625062367191,0.0118991361600054,3,510880;515220;512400,-0.31565811487625195,1.6482407991205532,17
reversal_5,10,2021-10-11,1.2238674216307046,0.3972363806565002,0.3245746832015634,2,512660;512400,-0.3050963931521118,1.6523214840117504,17
reversal_5,10,2021-10-12,1.2040117712094178,0.0,0.0,3,512760;515790;512010,-0.3163702965588048,1.6227966757815058,17
reversal_5,10,2021-10-13,1.225494375907105,0.006020415093626497,0.004912641960653809,3,512760;512660;512400,-0.3041726195677632,1.6378018877596363,17
reversal_5,10,2021-10-14,1.241902472185155,0.008091564233606074,0.006515458673150708,3,512760;512660;515220,-0.29485621398035733,1.6402628313665577,17
reversal_5,10,2021-10-15,1.2798937280491733,0.00895165854376001,0.006994063919200711,3,512760;512880;515220,-0.27328503701953,1.6607730345573701,17
reversal_5,10,2021-10-18,1.2794862443881108,0.00800577217993581,0.0062570209058905625,3,512010;512880;510880,-0.27351640347377115,1.6678766271175616,17
reversal_5,10,2021-10-19,1.308747162514229,0.016011073980269297,0.012233893939842807,3,512010;512880;159928,-0.2569022529651911,1.680551620155374,17
reversal_5,10,2021-10-20,1.3087471625142288,0.8830777612958334,0.6747504686843838,1,512010,-0.2569022529651912,1.6704405026612688,17
reversal_5,10,2021-10-21,1.303817269167396,0.014815169383047944,0.011362918511202691,3,512010;159928;510050,-0.25970141291302695,1.6722171474481167,17
reversal_5,10,2021-10-22,1.319144034605558,0.451793227935876,0.3424896873152812,2,512010;159928,-0.250998979629772,1.6667961948015724,17
reversal_5,10,2021-10-25,1.334508334033956,1.1102230246251565e-16,8.319341260831027e-17,3,510880;512760;515220,-0.24227523480187318,1.6878315378001356,17
reversal_5,10,2021-10-26,1.3312566132291324,0.001757144425563073,0.001319914138342491,3,510880;512400;515220,-0.2441215397821328,1.6808215557156243,17
reversal_5,10,2021-10-27,1.288871949922386,0.001757144425563073,0.0013633196266462978,3,510880;512400;515220,-0.2681872636394175,1.662294544423609,17
reversal_5,10,2021-10-28,1.240357351566619,0.014648479825041028,0.011809886728642704,3,510880;512010;515220,-0.29573352296976163,1.6365553948901326,17
reversal_5,10,2021-10-29,1.2434199623112279,0.8269049010444127,0.665024630541872,1,512400,-0.2939945933968475,1.6586890426123118,17
reversal_5,10,2021-11-01,1.24901817610738,0.0,0.0,3,512400;515220;510880,-0.29081596563856604,1.6573040844048395,17
reversal_5,10,2021-11-02,1.218730149068163,0.0,0.0,3,512400;515220;510880,-0.3080133016096588,1.643364843773044,17
reversal_5,10,2021-11-03,1.245935678280014,0.0,0.0,3,512400;515220;510880,-0.2925661869619536,1.6451630026680313,17
reversal_5,10,2021-11-04,1.244187445018509,0.0024427966653428612,0.001963367075534604,3,512400;515220;515030,-0.29355882193005534,1.6578984355241402,17
reversal_5,10,2021-11-05,1.2337417548002894,0.008003503559919856,0.006487178964949123,3,512400;512800;512010,-0.29948981386624474,1.6384977760743313,17
reversal_5,10,2021-11-08,1.2526856261981558,0.009024373808122876,0.007204021200044773,3,512400;515790;512010,-0.2887336123942751,1.6482085347939428,17
reversal_5,10,2021-11-09,1.2596955225322484,0.0,0.0,3,515220;515790;512800,-0.2847534408821515,1.6596314355783761,17
reversal_5,10,2021-11-10,1.2392387656529906,0.004849801256461395,0.003913532557953749,3,515220;510050;512800,-0.29636864845166544,1.650387587091043,17
reversal_5,10,2021-11-11,1.2640865583419731,0.004849801256461395,0.003836605353056352,3,515220;510050;512800,-0.2822602405828002,1.6694275632599334,17
reversal_5,10,2021-11-12,1.2561506584666864,0.009807318294078882,0.007807437927907575,3,515220;159928;515790,-0.2867661906141954,1.672183319647262,17
reversal_5,10,2021-11-15,1.2545476883449533,0.43454688805744424,0.34637733750138655,2,515220;159928,-0.28767634615847604,1.6608462238989774,17
reversal_5,10,2021-11-16,1.248965643559766,0.015167465995872098,0.012144021794420399,3,515220;159928;515030,-0.2908457932621866,1.6470698418234662,17
reversal_5,10,2021-11-17,1.2658779181410398,0.41646959881196005,0.3289966535031686,2,512400;515030,-0.28124311865967955,1.6584925267056523,17
reversal_5,10,2021-11-18,1.2696748411844885,0.0,0.0,3,512400;515220;515030,-0.2790872515525211,1.6519817602014675,17
reversal_5,10,2021-11-19,1.2814475519564963,0.012004909150438614,0.00936824073065627,3,512760;515220;515030,-0.2724027863618841,1.6718818343114412,17
reversal_5,10,2021-11-22,1.3330598379926792,0.011766919821050936,0.008827000473414275,3,512760;515790;515030,-0.24309768101279283,1.6946696452198928,17
reversal_5,10,2021-11-23,1.329299475286271,0.0,0.0,3,512800;512010;510050,-0.24523278940897653,1.6951477416859495,17
reversal_5,10,2021-11-24,1.339787183994199,0.0042257169734686295,0.003154021044499651,3,512800;512010;159928,-0.23927793965981115,1.6963949989265266,17
reversal_5,10,2021-11-25,1.341444857984083,0.4488381766652396,0.3345930874413664,2,515790;512010,-0.23833672363086145,1.6895314869155502,17
reversal_5,10,2021-11-26,1.3439823337113448,0.45277579544584595,0.33689118085021746,2,515790;512660,-0.23689596215294428,1.6814286832348513,17
reversal_5,10,2021-11-29,1.361742342924583,0.0075304228401317785,0.0055299909555275055,3,515790;512800;512660,-0.22681194958605466,1.6861302462440182,17
reversal_5,10,2021-11-30,1.3646024683305618,0.012603827042925897,0.009236262820442695,3,515790;512800;512760,-0.2251879898126964,1.6859722935854953,17
reversal_5,10,2021-12-01,1.3855221927658117,0.004780910582866282,0.0034506199957162124,3,515790;515220;510880,-0.2133099124103668,1.6875735409848989,17
reversal_5,10,2021-12-02,1.3877166625754809,0.0,0.0,3,159928;512800;510880,-0.21206390736202085,1.6847172150960508,17
reversal_5,10,2021-12-03,1.4080373731883358,0.0,0.0,3,159928;512010;510880,-0.20052594593825002,1.7062780950181777,17
reversal_5,10,2021-12-06,1.3856977107902064,0.00714423402313169,0.005155694468931198,3,588000;512010;515790,-0.2132102544686134,1.6892852888654117,17
reversal_5,10,2021-12-07,1.3825687388497878,0.00714423402313169,0.005167362621749464,3,588000;512010;515790,-0.2149868634776395,1.6823631041280658,17
reversal_5,10,2021-12-08,1.4157940754096887,0.010429906468061745,0.007366824490379111,3,588000;515030;512660,-0.19612174311726038,1.7049089568188152,17
reversal_5,10,2021-12-09,1.4282971019745996,0.01243496690780227,0.008706148665155948,3,588000;515030;512100,-0.18902260958129702,1.7180740825093148,17
reversal_5,10,2021-12-10,1.4286638625829813,0.47570282960322435,0.3329704362670502,2,159915;515030,-0.1888143653996891,1.717406344294026,17
reversal_5,10,2021-12-13,1.4309346980452389,0.0,0.0,3,515220;515030;512660,-0.1875250004526441,1.7205337806269263,17
reversal_5,10,2021-12-14,1.4254311703239495,0.4800463269697612,0.3367727161885086,2,515030;512660,-0.19064986610093104,1.706846021002494,17
reversal_5,10,2021-12-15,1.4313462068793723,0.0,0.0,3,515220;510880;512800,-0.18729134853248097,1.6968247623354633,17
reversal_5,10,2021-12-16,1.4847231387018867,0.0,0.0,3,515220;510880;512400,-0.15698428929520092,1.7111094924449999,17
reversal_5,10,2021-12-17,1.4790282657931337,0.02063357504086899,0.013950764510781116,3,512010;515030;512400,-0.16021779944089942,1.6839369902558874,17
reversal_5,10,2021-12-20,1.4330075489502088,0.021059629698319204,0.01469610520457275,3,512760;515030;512400,-0.18634804979208797,1.6488592662025217,17
reversal_5,10,2021-12-21,1.445868342055621,0.013125386993771748,0.009077857652731447,3,512760;515790;512400,-0.17904577884515183,1.6632696263434394,17
reversal_5,10,2021-12-22,1.449116106248382,0.013125386993771748,0.009057512325739085,3,512760;515790;512400,-0.1772017204023396,1.6649991919614262,17
reversal_5,10,2021-12-23,1.4533957220633291,0.0,0.0,3,512760;515790;515030,-0.17477178361901746,1.6737529111387173,17
reversal_5,10,2021-12-24,1.401234187510042,0.010702701017451688,0.007638053019866807,3,512400;515790;515030,-0.20438874854443678,1.6549455864950415,17
reversal_5,10,2021-12-27,1.3917754573903318,0.46035863950487443,0.33077076985397946,2,512400;515790,-0.20975935124225964,1.65191772543005,17
reversal_5,10,2021-12-28,1.4271121042566575,0.0,0.0,3,512400;515790;515030,-0.18969544323447762,1.6644888619496694,17
reversal_5,10,2021-12-29,1.4207725168429146,0.0,0.0,3,512400;515790;515220,-0.19329501789581438,1.6494890394220134,17
reversal_5,10,2021-12-30,1.4306191697155421,0.0038698337099297153,0.0027050061902212422,3,512400;159915;515220,-0.18770415529449525,1.662662526662125,17
reversal_5,10,2021-12-31,1.4337438795096213,0.007182133815183456,0.005009356216146455,3,515790;159915;515220,-0.1859299663032029,1.673062447796871,17
reversal_5,10,2022-01-04,1.4559019100137693,0.009275077725392933,0.0063706748796731865,3,159928;512800;515220,-0.17334878712820545,1.6568697568272353,17
reversal_5,10,2022-01-05,1.4400371828157434,0.013482139004329763,0.009362354781678467,3,159928;512010;515220,-0.18235667144371148,1.6232295180737135,17
reversal_5,10,2022-01-06,1.4299008912669784,0.0011905234952729327,0.0008325916170442114,3,515030;512010;512760,-0.18811198891748926,1.6159292128704508,17
reversal_5,10,2022-01-07,1.415651448113566,0.0011905234952729327,0.0008409721876521026,3,515030;512010;512760,-0.19620272592696586,1.603545818909698,17
reversal_5,10,2022-01-10,1.4054355481064051,0.0,0.0,3,515030;512660;512760,-0.20200324454254803,1.6077030282755977,17
reversal_5,10,2022-01-11,1.3804479588021776,0.0,0.0,3,515030;512660;512760,-0.21619102797974854,1.5911155352280821,17
reversal_5,10,2022-01-12,1.419547683991744,0.0,0.0,3,515030;512660;512760,-0.19399046966699574,1.6166025713865078,17
reversal_5,10,2022-01-13,1.3922946851348148,0.016963702057068653,0.012183988230498826,3,159928;512660;512760,-0.2094645372566598,1.5968868823026952,17
reversal_5,10,2022-01-14,1.3984600741906428,0.016963702057068653,0.012130272697907644,3,159928;512660;512760,-0.20596387123941529,1.590576502836614,17
reversal_5,10,2022-01-17,1.4111797126379049,0.015229293707683056,0.010791888213312733,3,159928;512660;510050,-0.19874174694834923,1.6050185198489295,17
reversal_5,10,2022-01-18,1.431222291818871,0.012623137319462907,0.008819830009369665,3,159928;515220;510050,-0.18736170666193452,1.614037477858976,17
reversal_5,10,2022-01-19,1.436676280972695,0.01997893542066098,0.013906358506269997,3,159928;512880;510050,-0.18426496867568143,1.5956243338869973,17
reversal_5,10,2022-01-20,1.4409152698619931,0.01713384520562944,0.011890945681539256,3,159928;512010;512400,-0.18185809958471688,1.5914960546337835,17
reversal_5,10,2022-01-21,1.4248067529743622,0.003987684972011074,0.0027987549635672087,3,512660;512010;512400,-0.19100440602963387,1.5817846416404622,17
reversal_5,10,2022-01-24,1.4250948624140145,0.009398972160067076,0.006595330884953056,3,512660;512010;512100,-0.1908408194472616,1.5885047248504722,17
reversal_5,10,2022-01-25,1.390200327567131,0.009398972160067076,0.0067608760936745,3,512660;512010;512100,-0.2106536992541852,1.5462462846262421,17
reversal_5,10,2022-01-26,1.3949439515414355,0.46352078511120637,0.33228631487237065,2,512660;512100,-0.20796030179052682,1.5552239153139458,17
