formula,horizon,validator_variant,max_holding_days,transaction_cost_bps,year,days,total_return,ann_return,sharpe,max_drawdown,benchmark_total_return
volume_confirmed_mom_10,5,no_max_holding,,5.0,2023,242,-0.13199565421307635,-0.1370582478977227,-1.1672114069706536,-0.2020811669884165,-0.10275297355423241
volume_confirmed_mom_10,5,no_max_holding,,5.0,2024,242,-0.31686250667674776,-0.3275351098628815,-1.1297348447832942,-0.341969614545085,0.09314440208869557
volume_confirmed_mom_10,5,no_max_holding,,5.0,2025,243,0.012826088281179704,0.013304274948412242,0.16335994149443242,-0.12394508548064054,0.2650811325694591
volume_confirmed_mom_10,5,no_max_holding,,5.0,2026,121,-0.05473025476155724,-0.11061186691512415,-0.26078879782054215,-0.18931083069573929,0.012829640414746102
volume_confirmed_mom_10,10,max_holding_10,10.0,5.0,2016,41,-0.023895496271981842,-0.138131962326273,-1.438285762702281,-0.058320127202857286,-0.024032540673499025
volume_confirmed_mom_10,10,max_holding_10,10.0,5.0,2017,244,0.10640057485859766,0.11007454327357014,0.9631378385602386,-0.0761271176118904,0.09642856417468071
volume_confirmed_mom_10,10,max_holding_10,10.0,5.0,2018,243,-0.23508983583142384,-0.242644633428454,-1.7298024574668678,-0.2772446890025999,-0.2679822743828272
volume_confirmed_mom_10,10,max_holding_10,10.0,5.0,2019,244,0.4006067072376229,0.4161636876204984,1.7399930844122904,-0.09850762459086038,0.4542215287708622
volume_confirmed_mom_10,10,max_holding_10,10.0,5.0,2020,243,0.06979758035284545,0.07247420685600692,0.39226065737708776,-0.22077428209442174,0.35037504947466647
volume_confirmed_mom_10,10,max_holding_10,10.0,5.0,2021,243,-0.03938677180958616,-0.04081536491819249,-0.02118937722390615,-0.16452126425594105,0.033965813830001856
volume_confirmed_mom_10,10,max_holding_10,10.0,5.0,2022,242,-0.06987592940602216,-0.07265588531039835,-0.34456338319957663,-0.1551987304520679,-0.09253745381670153
volume_confirmed_mom_10,10,max_holding_10,10.0,5.0,2023,242,-0.13199565421307824,-0.1370582478977247,-1.1672114069706905,-0.20208116698841805,-0.10275297355423241
volume_confirmed_mom_10,10,max_holding_10,10.0,5.0,2024,242,-0.31227776272151564,-0.3228348502981778,-1.1089359259122324,-0.33755337204403646,0.09314440208869557
volume_confirmed_mom_10,10,max_holding_10,10.0,5.0,2025,243,0.010952442770577386,0.01136038442535181,0.1529363301265361,-0.1256287444593438,0.2650811325694591
volume_confirmed_mom_10,10,max_holding_10,10.0,5.0,2026,121,-0.04283057884425712,-0.08713520403280506,-0.18694523753304007,-0.1965991233444353,0.012829640414746102
volume_confirmed_mom_10,10,no_max_holding,,5.0,2016,41,-0.023895752128463954,-0.13813335086268874,-1.4388692186394196,-0.058320374035956135,-0.024032540673499025
volume_confirmed_mom_10,10,no_max_holding,,5.0,2017,244,0.09720658583709674,0.10054888230728798,0.8819747883678476,-0.07577810929559292,0.09642856417468071
volume_confirmed_mom_10,10,no_max_holding,,5.0,2018,243,-0.22671447345118256,-0.23404311956479562,-1.656196736828644,-0.2693309000043498,-0.2679822743828272
volume_confirmed_mom_10,10,no_max_holding,,5.0,2019,244,0.4017417175367839,0.417348947372536,1.7256094363708243,-0.09946367345030327,0.4542215287708622
volume_confirmed_mom_10,10,no_max_holding,,5.0,2020,243,0.0714096129793711,0.07415017381450784,0.3977315861594802,-0.22077428209442185,0.35037504947466647
volume_confirmed_mom_10,10,no_max_holding,,5.0,2021,243,-0.040884256463552204,-0.042365957687259814,-0.02096506550086353,-0.16939368040612057,0.033965813830001856
volume_confirmed_mom_10,10,no_max_holding,,5.0,2022,242,-0.07533256620101159,-0.07832033228224355,-0.37885719950103086,-0.15519873045206767,-0.09253745381670153
volume_confirmed_mom_10,10,no_max_holding,,5.0,2023,242,-0.13199565421307635,-0.1370582478977227,-1.1672114069706536,-0.2020811669884165,-0.10275297355423241
volume_confirmed_mom_10,10,no_max_holding,,5.0,2024,242,-0.31686250667674776,-0.3275351098628815,-1.1297348447832942,-0.341969614545085,0.09314440208869557
volume_confirmed_mom_10,10,no_max_holding,,5.0,2025,243,0.012826088281179704,0.013304274948412242,0.16335994149443242,-0.12394508548064054,0.2650811325694591
volume_confirmed_mom_10,10,no_max_holding,,5.0,2026,121,-0.05473025476155724,-0.11061186691512415,-0.26078879782054215,-0.18931083069573929,0.012829640414746102
