formula,horizon,validator_variant,max_holding_days,transaction_cost_bps,date,equity,cash,cash_weight,position_count,held_symbols,drawdown,benchmark_equity,available_count
reversal_5,10,max_holding_10,10,5.0,2020-04-21,0.9976240412299395,0.9976240412299395,1.0,0,,-0.09549580020160686,1.1235585485278354,15
reversal_5,10,max_holding_10,10,5.0,2020-04-22,1.0202555769597403,0.0,0.0,3,512400;515220;159928,-0.07497672861803217,1.1330247824202955,15
reversal_5,10,max_holding_10,10,5.0,2020-04-23,1.0178271285904625,0.004379445486343947,0.004302739987299042,3,512400;515220;510880,-0.07717850168907536,1.1290881054973496,15
reversal_5,10,max_holding_10,10,5.0,2020-04-24,1.0157410688723119,0.004379445486343947,0.004311576661172183,3,512400;515220;510880,-0.07906984521942095,1.119183923727461,15
reversal_5,10,max_holding_10,10,5.0,2020-04-27,1.0084302449216382,0.0,0.0,3,512760;515220;510880,-0.08569826503899391,1.1191555451670683,15
reversal_5,10,max_holding_10,10,5.0,2020-04-28,1.0105200406952695,0.00012790497331027773,0.00012657341582486092,3,512760;515220;512880,-0.08380353418262843,1.1189286583036075,15
reversal_5,10,max_holding_10,10,5.0,2020-04-29,1.017474827890847,0.006630001727881418,0.006516133417889994,3,512660;515220;512400,-0.07749791807162498,1.1220606373574484,15
reversal_5,10,max_holding_10,10,5.0,2020-04-30,1.0515608858227417,0.0,0.0,3,512660;512100;512400,-0.04659350791330563,1.1501803326847102,15
reversal_5,10,max_holding_10,10,5.0,2020-05-06,1.0547003806861852,0.3465994162785665,0.3286235812800882,2,512010;512100,-0.04374705857781325,1.1637429820148972,15
reversal_5,10,max_holding_10,10,5.0,2020-05-07,1.0543463302039815,1.0543463302039815,1.0,0,,-0.04406806141541442,1.1607581087550418,15
reversal_5,10,max_holding_10,10,5.0,2020-05-08,1.0543463302039815,1.0543463302039815,1.0,0,,-0.04406806141541442,1.1736446358937707,15
reversal_5,10,max_holding_10,10,5.0,2020-05-11,1.0543463302039815,1.0543463302039815,1.0,0,,-0.04406806141541442,1.166919162322309,15
reversal_5,10,max_holding_10,10,5.0,2020-05-12,1.0543463302039815,1.0543463302039815,1.0,0,,-0.04406806141541442,1.1678480018365383,15
reversal_5,10,max_holding_10,10,5.0,2020-05-13,1.053994910714645,0.3511559320414463,0.333166629621912,2,515220;512800,-0.04438667884127767,1.1732158115297266,15
reversal_5,10,max_holding_10,10,5.0,2020-05-14,1.0451205332697908,0.3511559320414463,0.3359956300378205,2,515220;512800,-0.05243270754320284,1.1617279505352425,15
reversal_5,10,max_holding_10,10,5.0,2020-05-15,1.050270736413926,0.0014245106369154548,0.00135632707598742,3,515220;512800;512400,-0.04776323268978799,1.165905760133297,15
reversal_5,10,max_holding_10,10,5.0,2020-05-18,1.0608427309828068,0.0006693586528696005,0.000630968788605904,3,510880;512800;512400,-0.03817804519169088,1.168901065549201,15
reversal_5,10,max_holding_10,10,5.0,2020-05-19,1.0661669562197351,0.006054742434345006,0.005678981513189136,3,510880;512800;515220,-0.0333507917490643,1.1826104759619787,15
reversal_5,10,max_holding_10,10,5.0,2020-05-20,1.0577669416209146,0.005107141937267412,0.004828229864549618,3,510880;512800;512880,-0.04096673540017537,1.1748970271069388,15
reversal_5,10,max_holding_10,10,5.0,2020-05-21,1.0536342165598325,0.004718792653369885,0.00447858714077925,3,510880;159915;512880,-0.04471370522034157,1.1603087014877145,15
reversal_5,10,max_holding_10,10,5.0,2020-05-22,1.0370912385392586,0.003214565917632306,0.0030995979892376848,3,510880;512660;512100,-0.05971253491808426,1.135751166036738,15
reversal_5,10,max_holding_10,10,5.0,2020-05-25,1.0245549933125382,0.0,0.0,3,512760;512660;515030,-0.07107862674090304,1.1359344418028958,15
reversal_5,10,max_holding_10,10,5.0,2020-05-26,1.0539693307973004,0.0,0.0,3,512760;512660;515030,-0.04440987108776773,1.1551974132019713,15
reversal_5,10,max_holding_10,10,5.0,2020-05-27,1.0412014135320007,0.004823914527768147,0.004633027255893067,3,512760;512660;512880,-0.055986010306409706,1.147837725793586,15
reversal_5,10,max_holding_10,10,5.0,2020-05-28,1.0416398446353226,0.004823914527768147,0.0046310771929591425,3,512760;512660;512880,-0.05558850307133145,1.1488265126191128,15
reversal_5,10,max_holding_10,10,5.0,2020-05-29,1.0435163130736507,0.002423148300372935,0.0023220991085760923,3,512760;512010;512880,-0.05388718723178487,1.1525616263043006,15
reversal_5,10,max_holding_10,10,5.0,2020-06-01,1.0679032051610717,0.713766612298389,0.6683813746871672,1,512760,-0.0317766070918879,1.1854040387065587,15
reversal_5,10,max_holding_10,10,5.0,2020-06-02,1.0694360862586803,1.0694360862586803,1.0,0,,-0.030386807595006116,1.1865044360231658,15
reversal_5,10,max_holding_10,10,5.0,2020-06-03,1.0708930702844546,0.7127791514914104,0.665593205586884,1,512010,-0.02906582081452791,1.1829975330661162,15
reversal_5,10,max_holding_10,10,5.0,2020-06-04,1.073982824848653,1.073982824848653,1.0,0,,-0.026264468938305918,1.1887204260427588,15
reversal_5,10,max_holding_10,10,5.0,2020-06-05,1.073982824848653,1.073982824848653,1.0,0,,-0.026264468938305918,1.1912111112216428,15
reversal_5,10,max_holding_10,10,5.0,2020-06-08,1.073982824848653,1.073982824848653,1.0,0,,-0.026264468938305918,1.1883784553477952,15
reversal_5,10,max_holding_10,10,5.0,2020-06-09,1.0768837673517073,0.0,0.0,3,512660;512880;159915,-0.023634305100081354,1.1985696467366047,15
reversal_5,10,max_holding_10,10,5.0,2020-06-10,1.0765243226055063,0.7185300476559553,0.667453612118025,1,512660,-0.02396019869235433,1.1982699727467658,15
reversal_5,10,max_holding_10,10,5.0,2020-06-11,1.0771761698831714,0.3595091860670189,0.3337515219130875,2,512660;512800,-0.023369195893796713,1.1925980272631234,15
reversal_5,10,max_holding_10,10,5.0,2020-06-12,1.0751865720688614,0.0028969043075821044,0.002694327089677018,3,159928;512800;510880,-0.02517308143041075,1.1915666524806678,15
reversal_5,10,max_holding_10,10,5.0,2020-06-15,1.0609883135818106,0.0023770803451468314,0.0022404397058078808,3,512760;512800;515220,-0.03804605150792384,1.1806304867698174,15
reversal_5,10,max_holding_10,10,5.0,2020-06-16,1.0805230278433964,0.0023770803451468314,0.002199934924007329,3,512760;512800;515220,-0.020334739068337715,1.2019898525433717,15
reversal_5,10,max_holding_10,10,5.0,2020-06-17,1.078768477105146,0.0023770803451468314,0.002203512983180302,3,512760;512800;515220,-0.021925517203105094,1.2057613562257408,15
reversal_5,10,max_holding_10,10,5.0,2020-06-18,1.0846347868797266,0.005696773188594739,0.0052522501191236875,3,512760;512800;510050,-0.016606778270265465,1.2126351904636126,15
reversal_5,10,max_holding_10,10,5.0,2020-06-19,1.0921408739233802,0.37100210954310914,0.3397016981978984,2,512660;512800,-0.009801321530603535,1.231307340311207,15
reversal_5,10,max_holding_10,10,5.0,2020-06-22,1.0881936843397093,1.0881936843397093,1.0,0,,-0.013380074054880287,1.2378650253295587,15
reversal_5,10,max_holding_10,10,5.0,2020-06-23,1.0881936843397093,1.0881936843397093,1.0,0,,-0.013380074054880287,1.245015763472438,15
reversal_5,10,max_holding_10,10,5.0,2020-06-24,1.0917136577880326,0.7252810906124163,0.6643510277978376,1,512800,-0.010188660620955803,1.2471064762215247,15
reversal_5,10,max_holding_10,10,5.0,2020-06-29,1.0952299298972936,1.0952299298972936,1.0,0,,-0.007000603037119579,1.2383356501978005,15
reversal_5,10,max_holding_10,10,5.0,2020-06-30,1.1023547398664921,0.36477244318606894,0.3309029570918769,2,515220;510880,-0.0005408343531567716,1.2570837526595215,15
reversal_5,10,max_holding_10,10,5.0,2020-07-01,1.116441267089524,0.36477244318606894,0.3267278395548764,2,515220;510880,0.0,1.2730012131656923,15
reversal_5,10,max_holding_10,10,5.0,2020-07-02,1.1160654326775723,1.1160654326775723,1.0,0,,-0.0003366360802226076,1.3010188228045525,15
reversal_5,10,max_holding_10,10,5.0,2020-07-03,1.121879773560715,0.7438576108796019,0.6630457455514015,1,512010,0.0,1.3361107081263983,15
reversal_5,10,max_holding_10,10,5.0,2020-07-06,1.1216907624793746,1.1216907624793746,1.0,0,,-0.00016847712722423136,1.4293059728243394,15
reversal_5,10,max_holding_10,10,5.0,2020-07-07,1.1216907624793746,1.1216907624793746,1.0,0,,-0.00016847712722423136,1.4258922048185123,15
reversal_5,10,max_holding_10,10,5.0,2020-07-08,1.1216907624793746,1.1216907624793746,1.0,0,,-0.00016847712722423136,1.4659857442456343,15
reversal_5,10,max_holding_10,10,5.0,2020-07-09,1.1216907624793746,1.1216907624793746,1.0,0,,-0.00016847712722423136,1.4970485557798177,15
reversal_5,10,max_holding_10,10,5.0,2020-07-10,1.1216907624793746,1.1216907624793746,1.0,0,,-0.00016847712722423136,1.4759774126592073,15
reversal_5,10,max_holding_10,10,5.0,2020-07-13,1.1216907624793746,1.1216907624793746,1.0,0,,-0.00016847712722423136,1.5241810110883758,15
reversal_5,10,max_holding_10,10,5.0,2020-07-14,1.118368179601518,0.0,0.0,3,512800;510050;515220,-0.0031300982885642537,1.5111150011214487,15
reversal_5,10,max_holding_10,10,5.0,2020-07-15,1.1120161564030808,0.3816940628304188,0.3432450694466918,2,512800;510050,-0.008792044736066762,1.4758362993892873,15
reversal_5,10,max_holding_10,10,5.0,2020-07-16,1.0769570854509332,0.01083667466999133,0.010062308718136063,3,512800;510050;510880,-0.04004233712780347,1.4030770808248016,15
reversal_5,10,max_holding_10,10,5.0,2020-07-17,1.0745199335130096,0.36044083475937694,0.335443599990705,2,515220;512760,-0.04221471958389178,1.4068231947887957,15
reversal_5,10,max_holding_10,10,5.0,2020-07-20,1.1301019467601239,-5.551115123125783e-17,-4.912048102421388e-17,3,515220;512760;512880,0.0,1.4611801259706367,15
reversal_5,10,max_holding_10,10,5.0,2020-07-21,1.1196353060972668,0.0028269319162498863,0.002524868500354615,3,515030;512760;159915,-0.009261678287400321,1.4589312285690523,15
reversal_5,10,max_holding_10,10,5.0,2020-07-22,1.1331387434928837,0.0028269319162498863,0.002494780036852248,3,515030;512760;159915,0.0,1.4708840826512641,15
reversal_5,10,max_holding_10,10,5.0,2020-07-23,1.135966604854992,0.0028269319162498863,0.002488569561964147,3,515030;512760;159915,0.0,1.4752021175433105,15
reversal_5,10,max_holding_10,10,5.0,2020-07-24,1.119984094304298,1.119984094304298,1.0,0,,-0.014069525003980288,1.4041652378134974,15
reversal_5,10,max_holding_10,10,5.0,2020-07-27,1.113770203283403,0.0,0.0,3,515030;512760;512800,-0.01953966030050891,1.4093681773264606,15
reversal_5,10,max_holding_10,10,5.0,2020-07-28,1.1258059558489215,0.0039444574342022976,0.003503674335447935,3,515030;512880;512800,-0.008944496222551779,1.423986698482234,15
reversal_5,10,max_holding_10,10,5.0,2020-07-29,1.159481286065651,0.0039444574342022976,0.003401915564835566,3,515030;512880;512800,0.0,1.4617248266480876,15
reversal_5,10,max_holding_10,10,5.0,2020-07-30,1.1455605479540036,0.0039444574342022976,0.003443255305227808,3,515030;512880;512800,-0.01200600499459814,1.453472809359031,15
reversal_5,10,max_holding_10,10,5.0,2020-07-31,1.1626472970451172,0.0039444574342022976,0.0033926517906395053,3,515030;512880;512800,0.0,1.4693837597579853,15
reversal_5,10,max_holding_10,10,5.0,2020-08-03,1.175523419619365,1.175523419619365,1.0,0,,0.0,1.5092668014921569,15
reversal_5,10,max_holding_10,10,5.0,2020-08-04,1.175523419619365,1.175523419619365,1.0,0,,0.0,1.49983497426047,15
reversal_5,10,max_holding_10,10,5.0,2020-08-05,1.175523419619365,1.175523419619365,1.0,0,,0.0,1.510066740036071,15
reversal_5,10,max_holding_10,10,5.0,2020-08-06,1.175523419619365,1.175523419619365,1.0,0,,0.0,1.5197922524151313,15
reversal_5,10,max_holding_10,10,5.0,2020-08-07,1.175523419619365,1.175523419619365,1.0,0,,0.0,1.4981066562999785,15
reversal_5,10,max_holding_10,10,5.0,2020-08-10,1.1767330884922425,-5.551115123125783e-17,-4.7173952848036854e-17,3,159915;159928;512010,0.0,1.4982290943340075,15
reversal_5,10,max_holding_10,10,5.0,2020-08-11,1.169041659923367,-5.551115123125783e-17,-4.7484322530385007e-17,3,159915;159928;512010,-0.006536255880023267,1.4769429741612978,15
reversal_5,10,max_holding_10,10,5.0,2020-08-12,1.1540360668115082,0.004907076486691031,0.00425209976344051,3,159915;515220;512010,-0.01928816475265105,1.4593357910298075,15
reversal_5,10,max_holding_10,10,5.0,2020-08-13,1.144203276777084,0.013328426042550967,0.011648652222089063,3,159915;512400;512010,-0.027644171846003873,1.4597334517571157,15
reversal_5,10,max_holding_10,10,5.0,2020-08-14,1.1499558795480898,0.3819124353833985,0.3321105115210878,2,159915;512400,-0.022755550265406876,1.4818691917609648,15
reversal_5,10,max_holding_10,10,5.0,2020-08-17,1.1739147693423924,-5.551115123125783e-17,-4.728720745404222e-17,3,159915;512400;512010,-0.0023950368842446945,1.5173926924004169,15
reversal_5,10,max_holding_10,10,5.0,2020-08-18,1.1841029455069716,-5.551115123125783e-17,-4.6880342154280195e-17,3,159915;512400;512010,0.0,1.522633328907175,15
reversal_5,10,max_holding_10,10,5.0,2020-08-19,1.1733913261766011,0.7943866311149924,0.6770005993681883,1,512010,-0.009046189244790948,1.496681953574368,15
reversal_5,10,max_holding_10,10,5.0,2020-08-20,1.1686849723143649,0.013611845192698036,0.011647146592244006,3,512760;159915;512010,-0.013020804695326182,1.469518620712305,15
